# Users can change the parts in Yellow
#
ar.lproj	Welcome	codeID					description
		W_Im					لا تثبته على اجهزة الأبل الاصلية .
		W_Dv					المطورين
		W_Tt					شكرا ل 
		W_Pk					الحزمة
		W_Pb					Package Built by
		W_Lt					language translated by Mohamed Khairy
	Conclusion	codeID					description
		C_Ms					المخطوطات تمت , و ملف قد @LOG_FILENAME@ يسمى كٌتب لجذر البارتشن المختار  من فضلك أقرأه لكى تعرف اذا كان التثبيت تم بنجاح واحتفظ به كتسجيل لما تم .
	Description	codeID					description
		D_01					‎‎الشامليون عباره عن مزيج من مختلف مكونات محمل الاقلاع٫  <br />بنى عل ىالتطبيق  Fake EFI لصاحبه David Elliott واضيف الى مشروع Apple's boot-132 ٫<br />‎تم تطوير الشامليون ليضم المميزات التالية
		D_02					‎المميزات الجديده فى الشامليون ٢٫٠
		D_03					- واجهه قابله للتخصيص الكامل لاضافه بعض الالوان لمحمل الاقلاع Darwin 
		D_04					- اقلاع الاقراص الاصلية عن طريق تحميل صوره ل ramdisk مباشرة دون الحاجه لبرامج اضافية
		D_05					- السبات Hibernation ٫ استمتع باستئناف الماكنتوش من الحالة السابقه ٫
		D_06					- ‎امكانيه تعديل القيم المصنعيه ل SMBIOS باستخادم SMBIOS.plist ٫
		D_07					- ‎امكانيه استخدام  DSDT.aml  ‎المصححة التى تسطيع حل الكثير من العيوب 
		D_08					- ‎امكانيه حقن بعض المكونات لكى تعمل عن الطريق device-properties string ٫
		D_09					- ‎تحتوى على هجين من boot0 / boot1h ‎من اجل الاقراص المقسمة بنظامى MBR . GPT ٫
		D_10					- ‎تحديد كود الناقل الامامى اوتوماتيكيا حتى مع اخر المعالجات لشركه AMD
		D_11					- ‎دعم ل Apple Software RAID
		D_12					- دعم تشغيل كروت الشاشة من nvidia , Ati/AMD
		D_13					- دعم Module
		D_14					- الكشف عن الذاكرة مقتبس من 
		D_15					- Automatic P-State &amp; C-State generation لادارة الطاقة كما يجب ان يكون 
		D_16					- Message logging.
		D_17					هذا البرنامج صدر تحت رخضة الاصدار الثانى الهام ل Gnu .
		D_18					‎ لمزيد من المعلومات قم بزيارة موقعنا
	LocalizableStrings	messageName	objectName	objectName	objectName	objectTitle	description
		ERROR_BOOTVOL					دة التخزين بدء التشغيل
		ERROR_INSTALL					تشن لايفى بمتطلبات هذا التحديث ٫
		Newer_Package_Installed_message					لبرنام
		Intel_Mac_message					 البرنامج على هذا الكمبيوتر
			Chameleon_title			Chameleon Bootloader	البوت لودر يحتاج اللى ثلاث ملفات (باختصار ) boot0 (On the drive's MBR) responsible for loading boot1. boot1 (On the partition's boot-sector) to finding boot2. boot2 (On the partition's root directory) for loading kernel etc.
				Standard_title		Standard	Install Chameleon's files to the root of the selected partition using either boot0 or boot0md depending on your system without destroying any existing Windows installation if you have one.
				noboot_title		Don't install the Bootloader	تريد فقط تتبيت الاكسترا
			Module_title			Modules	The modules system incorporated in chameleon allows for a user or developer to extend the core functionality of chameleon without replacing the main boot file.
				AutoReso_title		Resolution	تصلة بالجهاز هذه الاضافة غير مدمجه فى trunk الى الان  و لها استخدام بسيط بالاضفة فانها تقوم بالتعديل على vesa mode  لكروت الشاشة انتل لتحصل على رزليوشن شاشتك اثناء الاقلاع
				klibc_title		klibc	This module provides a standard c library for modules to link to if the library provided by chameleon is insufficient. This is currently only used by the uClibc++ library. Source: http://www.kernel.org/pub/linux/libs/klibc/
				uClibc_title		uClibc++	This module provides a minimalistic c++ runtime library for use in other modules. This does not provide functionality by itself, instead it is used to allow for the c++ language to be used in other modules. Please note that rtti and exceptions has both been disabled. Source: http://cxx.uclibc.org/ Dependencies: klibc
			Keymaps_title			Keylayout	Select one keylayout to use. This will also install the Keylayout module and keymaps.
				mac-de_title		German Mac Keyboard	Use the keyboard layout for a German Mac keyboard
				mac-es_title		Spanish Mac Keyboard	Use the keyboard layout for a Spanish Mac keyboard
				mac-fr_title		French Mac Keyboard	Use the keyboard layout for a French Mac keyboard
				mac-it_title		Italian Mac Keyboard	Use the keyboard layout for an Italian Mac keyboard
				mac-se_title		Swedish Mac Keyboard	Use the keyboard layout for a Swedish Mac keyboard
				pc-fr_title		French PC Keyboard	Use the keyboard layout for a French PC keyboard
			Themes_title			Themes	A collection of sample themes. More themes can be found at http://forum.voodooprojects.org/index.php/board,7.0.html
				Bullet_title		Bullet	A lovely simple theme by NoSmokingBandit from April 2009.
				Default_title		Standard	Chameleon default theme introduced for v2.0 RC5
				Embed_title		Embed	A smaller simple version of the new default theme used when building a version of Chameleon which requires an embedded theme.
				Legacy_title		Legacy	Chameleon's original default theme introduced for v2.0 RC1
			Options_title			Settings	بواسطة اختيار اى من  هذه الخيارات /Extra/org.chameleon.Boot.plist انشى
				Control_title		Control Options	Settings to control how Chameleon works.
					BootBanner_title	BootBanner=No	العاء اى كتبات تظهر فى واجهه البوت مثل رقم نسخة البوت
					GUI_title	GUI=No	الغاء الواجهه الرسومية للبوت
					LegacyLogo_title	LegacyLogo=Yes	استخدام لوجو شركة ابل الاصلى اثناء بدء التشغيل بدلا من المعدل الذى ياتى مع الثيم
					InstantMenu_title	InstantMenu=Yes	By default, when Chameleon loads you'll see the icon for the current default partition, along with a timeout progress bar which left alone will count down before Chameleon automatically boots that partition. This options skips that and takes you directly to the device selection screen.
					QuietBoot_title	QuietBoot=Yes	Enable quiet boot mode (no messages or prompt).
					ShowInfo_title	ShowInfo=Yes	Enables display of partition and resolution details shown on the left side of the GUI under the boot banner. This is useful information for troubleshooting, though can clash with certain themes.
					Wait_title	Wait=Yes	يوقف التوبيت بعد ما ان يقوم الشاميلون بعملياته مفيد لو واجهك مشاكل من البوت لودر ٫ 
				General_title		General Options	Choose from a selection of base options.
					arch_title	arch=i386	Boots the kernel in 32bit mode rather than the default 64bit mode.
					EHCIacquire_title	EHCIacquire=Yes	Enables the option to fix any EHCI ownership issues due to bad bioses.
					EthernetBuiltIn_title	EthernetBuiltIn=Yes	Enables the option of adding 'built-in' to your ethernet devices.
					ForceHPET_title	ForceHPET=Yes	Enables HPET on intel chipsets, for bioses that dont include the option.
					ForceWake_title	ForceWake=Yes	This option enables you to bypass bad sleep images.
					RestartFix_title	RestartFix=No	Disables the automatically enabled restart fix.
					UHCIreset_title	UHCIreset=Yes	Enables the option to reset UHCI controllers before starting OS X.
					UseMemDetect_title	UseMemDetect=No	Disables the automatically enabled RAM recognition.
					UseKernelCache_title	UseKernelCache=Yes	For Lion only. Enables loading of the pre-linked kernel. This will ignore /E/E and /S/L/E. ONLY use this is you have know it contains everything you need.
					Wake_title	Wake=Yes	Attempts to load the sleep image saved from last hibernation.
				KernelFlags_title		Kernel Flags	Choose from a selection of kernel flags.
					Verbose_title	Verbose Mode	Turns on verbose logging and allows you to see messages from both Chameleon and the OS X kernel at boot time. Essential for troubleshooting.
					Singleusermode_title	Single User Mode	A troubleshooting option used for booting into OS X's BSD/Unix command line.
					Ignorecaches_title	Ignore Caches	Not an option that's needed for everyday booting, but it can be useful if you want OS X to load all files from it's system folders, rather than relying on it's pre-built caches.
					Npci_title	npci=0x2000	For overcoming a hang at 'PCI configuration begin' on some systems. 0x2000 is the kIOPCIConfiguratorPFM64 flag, as seen in the IOPCIFamily source code.
					Darkwake_title	darkwake=0	Lion only. Disables the 'low power wake' feature which can sometimes leave the screen black after wake from sleep.
				PowerManagement_title		Power Management	A selection of options that deal with power management and speedstep.
					CSTUsingSystemIO_title	Generate C-States=Yes	New C-State _CST generation method using SystemIO registers instead of FixedHW.
					DropSSDT_title	DropSSDT=Yes	Discard the motherboard's built-in SSDT tables.
					EnableC2State_title	EnableC2State=Yes	Enable specific Processor power state, C2.
					EnableC3State_title	EnableC3State=Yes	Enable specific Processor power state, C3.
					EnableC4State_title	EnableC4State=Yes	Enable specific Processor power state, C4.
					GenerateCStates_title	Generate C-States=Yes	Enable auto generation of processor idle sleep states (C-States).
					GeneratePStates_title	Generate P-States=Yes	Enable auto generation of processor power performance states (P-States).
				Resolution_title		Resolution	Set one resolution to use.
					1024x600x32_title	1024x600x32	Set Graphics Mode to 1024x600x32
					1024x768x32_title	1024x768x32	Set Graphics Mode to 1024x768x32
					1280x768x32_title	1280x768x32	Set Graphics Mode to 1280x768x32
					1280x800x32_title	1280x800x32	Set Graphics Mode to 1280x800x32
					1280x1024x32_title	1280x1024x32	Set Graphics Mode to 1280x1024x32
					1280x960x32_title	1280x960x32	Set Graphics Mode to 1280x960x32
